experiment_id,lambda_joint_soft_group,decoder_name,cohort,metric_family,class_name,precision,sensitivity,specificity,accuracy,support
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,21,0.0,0.0,1.0,0.9457013574660633,12.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,22,0.0,0.0,1.0,0.8009049773755657,44.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,32,0.5263157894736842,0.21052631578947367,0.8571428571428571,0.579185520361991,95.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,macro_avg,0.1293859649122807,0.18214654282765738,0.8414565826330532,0.7647058823529411,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,joint6_fused,weighted_avg,0.2839366515837104,0.29411764705882354,0.7546218487394958,0.6248234065641571,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,grade0,0.25,0.8823529411764706,0.20588235294117646,0.36199095022624433,51.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,grade1,0.0,0.0,0.9851485148514851,0.9004524886877828,19.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,grade2,0.0,0.0,1.0,0.746606334841629,56.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,grade3,0.5263157894736842,0.21052631578947367,0.8571428571428571,0.579185520361991,95.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,macro_avg,0.19407894736842105,0.27321981424148606,0.7620434312338796,0.6470588235294118,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,grade_fused,weighted_avg,0.2839366515837104,0.29411764705882354,0.7540560778766953,0.5991073073851887,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,stage_fused,stage0,0.25,0.8823529411764706,0.20588235294117646,0.36199095022624433,51.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,stage_fused,stage1,0.0,0.0,1.0,0.9095022624434389,20.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,stage_fused,stage2,0.8292682926829268,0.22666666666666666,0.9014084507042254,0.4434389140271493,150.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,stage_fused,macro_avg,0.35975609756097554,0.369673202614379,0.7024302678818005,0.5716440422322775,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL,stage_fused,weighted_avg,0.6205440900562852,0.3574660633484163,0.7498247402969855,0.4668209086628038,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,00,0.25153374233128833,0.8723404255319149,0.21794871794871795,0.3694581280788177,47.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,11,0.0,0.0,1.0,0.9655172413793104,7.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,12,0.0,0.0,0.984375,0.9310344827586207,11.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,21,0.0,0.0,1.0,0.9458128078817734,11.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,22,0.0,0.0,1.0,0.8078817733990148,39.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,32,0.5405405405405406,0.22727272727272727,0.8521739130434782,0.5812807881773399,88.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,macro_avg,0.13201238047863814,0.1832688588007737,0.8424162718320328,0.7668308702791462,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,joint6_fused,weighted_avg,0.29255986924698585,0.30049261083743845,0.7540050201547578,0.6277269528501055,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,grade0,0.25153374233128833,0.8723404255319149,0.21794871794871795,0.3694581280788177,47.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,grade1,0.0,0.0,0.9837837837837838,0.896551724137931,18.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,grade2,0.0,0.0,1.0,0.7536945812807881,50.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,grade3,0.5405405405405406,0.22727272727272727,0.8521739130434782,0.5812807881773399,88.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,macro_avg,0.19801857071795723,0.27490328820116056,0.763476603693995,0.6502463054187192,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,grade_fused,weighted_avg,0.29255986924698585,0.30049261083743845,0.7534138039385416,0.6026596131912931,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,stage_fused,stage0,0.25153374233128833,0.8723404255319149,0.21794871794871795,0.3694581280788177,47.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,stage_fused,stage1,0.0,0.0,1.0,0.9113300492610837,18.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,stage_fused,stage2,0.825,0.2391304347826087,0.8923076923076924,0.4482758620689655,138.0
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,stage_fused,macro_avg,0.35884458077709613,0.37049028677150786,0.7034188034188035,0.5763546798029556,
grandBatch128,joint_ce_on,decoder_non_qwk,hfirstALL_have_bmi,stage_fused,weighted_avg,0.6190743147269484,0.3645320197044335,0.7457243905519767,0.47108641316217326,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,00,0.5386343216531896,0.8178717598908595,0.5747412008281574,0.6665807781499613,1466.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,11,0.0,0.0,0.9997326917936381,0.9636691574336511,140.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,12,0.5990338164251208,0.09967845659163987,0.968524838832006,0.6900283432105128,1244.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,21,0.0,0.0,1.0,0.9868590569440866,51.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,22,0.42857142857142855,0.004341534008683068,0.9987460815047022,0.821695439319763,691.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,32,0.11875,0.5916955017301038,0.6467149220489977,0.642617881989178,289.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,macro_avg,0.28083159444162314,0.25226454203688103,0.8647432891679169,0.7952417761745255,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,joint6_fused,weighted_avg,0.4806229297395731,0.3857253285235763,0.802734406483925,0.7148555243832541,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,grade0,0.5386343216531896,0.8178717598908595,0.5747412008281574,0.6665807781499613,1466.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,grade1,0.6105769230769231,0.09176300578034682,0.9675610732879455,0.6552434939448596,1384.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,grade2,0.42857142857142855,0.004043126684636119,0.9987257088244664,0.8085544962638496,742.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,grade3,0.11875,0.5916955017301038,0.6467149220489977,0.642617881989178,289.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,macro_avg,0.42413316832538533,0.37634334852148654,0.7969357262473918,0.6932491625869621,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,grade_fused,weighted_avg,0.5119801924973041,0.3864983251739242,0.8012445798156427,0.6878970421309398,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,stage_fused,stage0,0.5386343216531896,0.8178717598908595,0.5747412008281574,0.6665807781499613,1466.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,stage_fused,stage1,0.0,0.0,0.9997289972899729,0.9505282143777377,191.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,stage_fused,stage2,0.8029020556227328,0.5971223021582733,0.8032589016294508,0.6851326977583098,2224.0
grandBatch128,joint_ce_on,decoder_non_qwk,internal,stage_fused,macro_avg,0.44717879242530745,0.47166468734971095,0.792576366582527,0.7674138967620029,
grandBatch128,joint_ce_on,decoder_non_qwk,internal,stage_fused,weighted_avg,0.6635640523701452,0.6511208451430044,0.7266082546045767,0.6911861452018737,
