experiment_id,lambda_joint_soft_group,decoder_name,cohort,QWK_grade_raw,QWK_grade_final,QWK_stage_raw,QWK_stage_final,MAE_grade_raw,MAE_grade_final,MAE_stage_raw,MAE_stage_final,invalid_rate_raw,invalid_rate_final
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,0.0951542037229639,0.1144820347988651,0.11837274195917169,0.13728165938864623,1.625615763546798,1.3596059113300492,1.064039408866995,0.8669950738916257,0.10837438423645321,0.14285714285714285
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,0.299057441877735,0.3885254659057098,0.4410983799199628,0.4922437271112665,0.9708837928368977,0.6261272867817573,0.5681525380056687,0.5782014944601906,0.11028085544962639,0.05694408657562484
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,0.15167123675054417,0.15167123675054417,0.2540695164865715,0.2540695164865715,0.5059288537549407,0.5059288537549407,0.40118577075098816,0.40118577075098816,0.06521739130434782,0.06521739130434782
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,0.16856852333069716,0.16856852333069716,0.2706243565565183,0.2706243565565183,0.515695067264574,0.515695067264574,0.40582959641255606,0.40582959641255606,0.06726457399103139,0.06726457399103139
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,0.3984032385021927,0.3984032385021927,0.3807339449541285,0.3807339449541285,0.315,0.315,0.3,0.3,0.025,0.025
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,0.09208466222093348,0.09208466222093348,0.10554656155416342,0.10554656155416342,1.6334841628959276,1.6334841628959276,1.085972850678733,1.085972850678733,0.11764705882352941,0.11764705882352941
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL_have_bmi,0.10093416204547989,0.10093416204547989,0.11158798283261806,0.11158798283261806,1.6108374384236452,1.6108374384236452,1.064039408866995,1.064039408866995,0.12315270935960591,0.12315270935960591
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,internal,0.2773123539803166,0.2773123539803166,0.444568246704926,0.444568246704926,0.9817057459417676,0.9817057459417676,0.5578459160010306,0.5578459160010306,0.11878381860345272,0.11878381860345272
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan,0.15167123675054417,0.17734532127064662,0.2540695164865715,0.2798879043528525,0.5059288537549407,0.5177865612648221,0.40118577075098816,0.49209486166007904,0.06521739130434782,0.06521739130434782
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,handan_have_bmi,0.16856852333069716,0.18647425267781115,0.2706243565565183,0.28442419297167953,0.515695067264574,0.5269058295964125,0.40582959641255606,0.5067264573991032,0.06726457399103139,0.07174887892376682
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hebei,0.3984032385021927,0.4030898876404495,0.3807339449541285,0.5240893066980024,0.315,0.265,0.3,0.255,0.025,0.025
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL,0.09208466222093348,0.07811182916549575,0.10554656155416342,0.18562121868037884,1.6334841628959276,1.5294117647058822,1.085972850678733,0.9366515837104072,0.11764705882352941,0.058823529411764705
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,0.10093416204547989,0.0868010765009789,0.11158798283261806,0.2031377527886099,1.6108374384236452,1.5024630541871922,1.064039408866995,0.9014778325123153,0.12315270935960591,0.06403940886699508
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_ev_macro_f1,internal,0.2773123539803166,0.3761922803449167,0.444568246704926,0.5041994452418151,0.9817057459417676,0.637464570986859,0.5578459160010306,0.5171347590827107,0.11878381860345272,0.04096882246843597
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan,0.15167123675054417,0.20124466502530247,0.2540695164865715,0.19901122123534964,0.5059288537549407,0.5968379446640316,0.40118577075098816,0.6798418972332015,0.06521739130434782,0.21146245059288538
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,handan_have_bmi,0.16856852333069716,0.21570058727894093,0.2706243565565183,0.19706683059629415,0.515695067264574,0.600896860986547,0.40582959641255606,0.7017937219730942,0.06726457399103139,0.2242152466367713
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hebei,0.3984032385021927,0.6109206014244262,0.3807339449541285,0.6210268948655258,0.315,0.225,0.3,0.26,0.025,0.08
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL,0.09208466222093348,0.09570141159582113,0.10554656155416342,0.15087500543706778,1.6334841628959276,1.4343891402714932,1.085972850678733,0.9095022624434389,0.11764705882352941,0.18099547511312217
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,hfirstALL_have_bmi,0.10093416204547989,0.10262029893026192,0.11158798283261806,0.1716361814081684,1.6108374384236452,1.4137931034482758,1.064039408866995,0.8866995073891626,0.12315270935960591,0.18226600985221675
grandBatch128_jointsoft_00,joint_ce_off,decoder_temp_threshold_composite,internal,0.2773123539803166,0.39012876640675476,0.444568246704926,0.48829217771899314,0.9817057459417676,0.6312805977840763,0.5578459160010306,0.5738211801082196,0.11878381860345272,0.08812161813965473
