experiment_id,lambda_joint_soft_group,decoder_name,cohort,MAE_grade_fused,QWK_grade_fused,MAE_stage_fused,QWK_stage_fused,ACC_grade_fused,ACC_stage_fused,ACC_joint6_fused,AUROC_grade_any_htn_fused,AUROC_grade_ge2_fused,AUROC_grade_ge3_fused,AUROC_stage_any_htn_fused,AUROC_stage_ge2_fused
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,hfirstALL_have_bmi,1.6157635467980296,0.08174404486897091,1.1822660098522169,0.07280276816608999,0.30049261083743845,0.3645320197044335,0.30049261083743845,0.6305237315875614,0.6352285395763657,0.5979249011857707,0.6305237315875614,0.691638795986622
grandBatch128,joint_ce_on,decoder_temp_ev_macro_f1,internal,1.0350425148157691,0.30155283558584967,0.6482865240917289,0.37896449029405954,0.38649832517392424,0.6511208451430044,0.3857253285235764,0.8036120314428638,0.6848227746864737,0.6853436317537627,0.8036120314428638,0.8039854628065803
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan,0.5237154150197628,0.13595706618962422,0.3932806324110672,0.1328624606280424,0.7845849802371542,0.8003952569169961,0.7845849802371542,0.7103119084848983,0.7006442705936493,0.6040189125295509,0.7103119084848983,0.7164014895057549
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,handan_have_bmi,0.5426008968609866,0.1462563605524595,0.40582959641255606,0.14242713142587815,0.7757847533632287,0.7937219730941704,0.7757847533632287,0.7159977703455964,0.7068566601784861,0.6165565487757482,0.7159977703455964,0.7243126684636119
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hebei,0.32,0.4043428818974387,0.33,0.27184466019417486,0.785,0.805,0.785,0.9717673630717109,0.9525025536261491,0.9548717948717949,0.9717673630717109,0.9624379872430899
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL,1.6334841628959276,0.07533884879422637,1.1945701357466063,0.07050602728838262,0.29411764705882354,0.3574660633484163,0.29411764705882354,0.6249134948096885,0.6236518448438978,0.579281537176274,0.6249134948096885,0.6731455399061033
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,hfirstALL_have_bmi,1.6157635467980296,0.08174404486897091,1.1822660098522169,0.07280276816608999,0.30049261083743845,0.3645320197044335,0.30049261083743845,0.6305237315875614,0.6352285395763657,0.5979249011857707,0.6305237315875614,0.691638795986622
grandBatch128,joint_ce_on,decoder_temp_threshold_composite,internal,1.0350425148157691,0.30155283558584967,0.6482865240917289,0.37896449029405954,0.38649832517392424,0.6511208451430044,0.3857253285235764,0.8036120314428638,0.6848227746864737,0.6853436317537627,0.8036120314428638,0.8039854628065803
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan,0.5335968379446641,0.1778588640275388,0.3893280632411067,0.18432184173421162,0.7786561264822134,0.8023715415019763,0.7786561264822134,0.7130003017584288,0.7075759318913944,0.6227541371158392,0.7130003017584288,0.7219589257503949
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,handan_have_bmi,0.5336322869955157,0.20469841123753219,0.38789237668161436,0.21038722398290477,0.7757847533632287,0.8026905829596412,0.7757847533632287,0.71875,0.7147893789709501,0.6333462883793237,0.71875,0.7291644204851753
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hebei,0.31,0.43683327015757845,0.33,0.27184466019417486,0.785,0.805,0.785,0.9669678147939017,0.9558222676200204,0.962051282051282,0.9669678147939017,0.9576541459957477
grandBatch128_jointsoft_00,joint_ce_off,decoder_non_qwk,hfirstALL,1.6199095022624435,0.07798652959943264,1.158371040723982,0.09083915850028423,0.2986425339366516,0.3755656108597285,0.2986425339366516,0.6276816608996539,0.632639545884579,0.5973266499582289,0.6276816608996539,0.6831924882629108
